University,Location,Course,,
Queen's Belfast,"Belfast, Northern Ireland",Psychology (BSc),,
"Regent's, London","London, England",Psychology (BSc),,
Manchester,"Manchester, England",Philosophy (BA),,
Nottingham,"Nottingham, England","Religion, Philosophy & Ethics (BA)",,
Nottingham,"Nottingham, England",Economics (BSc),,
Nottingham,"Nottingham, England",History (BA),,
Exeter,"Exeter, England",Archaeology (BA),,
Cardiff,"Cardiff, Wales",Archaeology (BA),,
Cardiff,"Cardiff, Wales",History (BA),,
Sheffield,"Sheffield, England",Physics with placement (BSc),,
York,"York, England",Physics with placement (BSc),,
Manchester Met,"Manchester, England",Fashion Marketing (BA),,
Bath Spa,"Bath, England",Psychology (BSc),,
Robert Gordon (RGU),"Aberdeen, Scotland",Architectural Technology,,
Edinburgh Napier,"Edinburgh, Scotland",Architectural Technology (BSc),,
London Metropolitan,"London, England",Business (BA),,
Reading,"Reading, England",History (BA),,
Roehampton,"London, England",,,
Aberystwyth,"Aberystwyth, Wales",Modern Languages (BA),,
BIMM Brighton,"Brighton, England",Music Production (BA),,
Kingâ€™s College London,"London, England",Biochemistry (BSc),,
Birmingham,"Birmingham, England",Economics (BSc),,
York St John,"York, England",Business with placement (BA),,
Academy of Art University,"San Francisco, USA",,,
Lehigh University,"Pennsylvania, USA",,,
University (Dubai),"Dubai, UAE",Music or International Business (BA),,
